id,sentence,coarse,fine,pol,asp
1118,This is complemented by the linear combination of depth bases obtained from the first image.,Structuring,Structuring.Summary,,
1119,The features and the initial depth then passed to the optimization layer called BA-layer where the feature re-projection error is minimized by the modified LM algorithm.,Structuring,Structuring.Summary,,
1120,The authors adapt the standard multi-view geometry constraints by a new concept of feature re-projection error in the BA framework (BA-layer) which they made differentiable.,Structuring,Structuring.Summary,,
1121,Differentiable optimization of camera motion and image depth via LM algorithm is now possible and can be used in various other DL architectures (ex. MVS-Net can probably benefit from BA-layer).,Structuring,Structuring.Summary,,
1122,"The authors also propose a novel depth parametrization in the form of linear combination of depth bases which reduces the number of parameters for the learning task,",Structuring,Structuring.Summary,,
1123,enables integration into the same backbone net as used or feature pyramids and makes it possible to jointly train the depth generator and the BA-layer.,Structuring,Structuring.Summary,,
1124,Originally the proposed approach depicts the network operating in the two-view settings.,Structuring,Structuring.Summary,,
1125,"The extensibility to more views is also possible and, as shown by authors, proved to improve performance.",Structuring,Structuring.Summary,,
1126,"It is, however, limited by the GPU capacity.",Structuring,Structuring.Summary,,
1127,"Overall, the authors came up with an interesting approach to the standard BA problem.",Structuring,Structuring.Summary,,
1128,They have managed to inject the multi-view geometry priors and BA into the DL architecture.,Structuring,Structuring.Summary,,
1129,Major comments regarding the paper:,Structuring,Structuring.Heading,,
1130,It would be interesting to know the evaluation times for the BA-net and more importantly to have some implementation details to ensure reproducibility.,Request,Request.Explanation,N-Negative,Replicability
1131,Minor comments regarding the paper:,Structuring,Structuring.Heading,,
1132,-	The spacing between sections is not consistent.,Evaluative,Evaluative,N-Negative,Clarity
1133,-	Figures 1 is way too abstract given the complicated set-up of the proposed architecture.,Evaluative,Evaluative,N-Negative,Clarity
1134,It would be nice to see more details on the subnet for depth estimator and output of the net.,Request,Request.Experiment,N-Negative,Substance
1135,Overall it would be helpful for reproducibility if authors can visualize all the layers of all the different parts of the network as it is commonly done in the DL papers.,Request,Request.Edit,N-Negative,Replicability
1136,-,Evaluative,Evaluative,N-Negative,Clarity
1137,Talking about proposed formulation of BA use either of the following and be consistent across the paper:,,,,
1138,Featuremetric BA / Feature-metric BA / Featuremetric BA / ‘Feature-metric BA’,Evaluative,Evaluative,N-Negative,Clarity
1139,-	Talking about depth parametrization use ‘basis’ or ‘bases’ not both and clearly defined the meaning of this important notion.,Evaluative,Evaluative,N-Negative,Clarity
1140,-	Attention should be given to the notation in formulas (3) and (4).,Request,Request.Edit,N-Negative,Clarity
1141,The projection function there is no longer accepts a 3D point parametrized by 3 variables.,Evaluative,Evaluative,N-Negative,Clarity
1142,Instead only depth is provided.,Evaluative,Evaluative,N-Negative,Clarity
1143,"In addition, the subindex ‘1’ of the point ‘q’ is not explained.",Evaluative,Evaluative,N-Negative,Clarity
1144,-	More attention should be given to the evaluation section.,Evaluative,Evaluative,N-Negative,Substance
1145,Specifically to the tables (1 and 2) with quantitative results showing the comparison to other methods.,Evaluative,Evaluative,U-Neutral,Substance
1146,It is not clear how the depth error is measured and it would be nicer to have the other errors explained exactly as they referred in the tables (e.g. ATE?).,Evaluative,Evaluative,N-Negative,Replicability
1147,-	How the first camera pose is initialized?,Request,Request.Explanation,N-Negative,Replicability
1148,-	In Figure 2.b I’m surprised by the difference obtained in the feature maps for images which seems very similar (only the lighting seems to be different). Is it three consecutive frames?,Request,Request.Explanation,N-Negative,Soundness/Correctness
1149,"-	Attention should be given to the grammar, formatting in particular the bibliography.",Request,Request.Edit,N-Negative,Clarity
1170,The paper is well written and easy to follow. The topic is apt.,Evaluative,Evaluative,P-Positive,Clarity
1171,I don’t have any comments except the following ones.,Structuring,Structuring.Heading,,
1172,"Lemma 2.4, Point 1: The proof is confusing.",Evaluative,Evaluative,N-Negative,Substance
1173,Consider the one variable vector case.,Fact,Fact,,
1174,"Assuming that there is only one variable w, then \nabla L(w) is not perpendicular to w in general.",Fact,Fact,,
1175,"The Rayleigh quotient example L(w)  = w’*A*w/ (w’*w) for a symmetric matrix A, then \nabla L(w) = (2/w’*w)(Aw - L(w)*w), which is not perpendicular to w.",Fact,Fact,,
1176,Even if we constrain ||w ||_2 = 1,Fact,Fact,,
1177,", then also  \nabla L(w)  is not perpendicular to w.",,,,
1178,Am I missing something?,Request,Request.Clarification,U-Neutral,Soundness/Correctness
1179,What is G_t in Theorem 2.5. It should be defined in the theorem itself.,Request,Request.Edit,N-Negative,Substance
1180,There is another symbol G_g which is a constant.,Structuring,Structuring.Quote,,
1194,This paper attempts to mitigate catastrophic problem in continual learning.,Structuring,Structuring.Summary,,
1195,"Different from the previous works where episodic memory is used, this work adopts the generative replay strategy and improve the work in (Serra et al., 2018) by extending the output neurons of generative network when facing the significant domain shift between tasks.",Evaluative,Evaluative,P-Positive,Originality
1196,Here are my detailed comments:,Structuring,Structuring.Heading,,
1197,"Catastrophic problem is the most severe problem in continual learning since when learning more and more new tasks, the classifier will forget what they learned before, which will be no longer an effective continual learning model.",Fact,Fact,,
1198,"Considering that episodic memory will cost too much space, this work adopts the generative replay strategy where old representative data are generated by a generative model.",Evaluative,Evaluative,P-Positive,Motivation/Impact
1199,"Thus, at every time step, the model will receive data from every task so that its performance on old tasks will retain.",Fact,Fact,,
1200,"However, if the differences between tasks are significant, the generator cannot reserve vacant neurons for new tasks or in other words, the generator will forget the old information from old tasks when overwritten by information from new tasks.",Fact,Fact,,
1201,"Therefore, this work tries to tackle this problem by extending the output neurons of the generator to keep vacant neurons to retain receive new information.",Structuring,Structuring.Quote,,
1202,"As far as I am concerned, this is the main contribution of this work.",Structuring,Structuring.Summary,,
1203,"Nevertheless, I think there are some deficiencies in this work.",Structuring,Structuring.Heading,,
1204,"First, this paper is not easy to follow.",Evaluative,Evaluative,N-Negative,Clarity
1205,"The main reason is that from the narration, I cannot figure out what is the idea or technique of other works and what is the contribution of this paper.",Evaluative,Evaluative,N-Negative,Originality
1206,"For example, in Section 4.1, I am not sure the equation (3), (4), (5), (6) are the contributions of this paper or not since a large number of citations appear.",Evaluative,Evaluative,N-Negative,Clarity
1207,"Second, the authors mention that to avoid storing previous data, they adopt generative replay and continuously enlarge the generator to tackle the significant domain shift between tasks.",Structuring,Structuring.Quote,,
1208,"However, in this way, when more and more tasks come, the generator will become larger and larger.",Evaluative,Evaluative,N-Negative,Soundness/Correctness
1209,The storing problem still exists.,Evaluative,Evaluative,N-Negative,Soundness/Correctness
1210,Generative replay also brings the time complexity problem since it is time consuming to generate previous data.,Evaluative,Evaluative,N-Negative,Substance
1211,"Thus, I suggest the authors could show the space and time comparisons with the baseline methods to show effectiveness of the proposed method.",Request,Request.Experiment,N-Negative,Meaningful Comparison
1212,"Third, the datasets used in this paper are rather limited.",Evaluative,Evaluative,N-Negative,Substance
1213,Three datasets cannot make the experiments convincing.,Evaluative,Evaluative,N-Negative,Substance
1214,"In addition, I observe that in Table 1, the proposed method does not outperform the Joint Training in SVHN with A_10.",Request,Request.Explanation,N-Negative,Meaningful Comparison
1215,I hope the author could explain this phenomenon.,Request,Request.Explanation,N-Negative,Meaningful Comparison
1216,"Furthermore, I do not see legend in Figure 3 and thus I cannot figure out what the curves represent.",Request,Request.Edit,N-Negative,Clarity
1217,"Fourth, there are some grammar mistakes and typos.",Request,Request.Typo,N-Negative,Clarity
1218,"For example, there are two ""the"" in the end of the third paragraph in Related Work.",Request,Request.Typo,N-Negative,Clarity
1219,"In the last paragraph in Related Work, ""provide"" should be ""provides"".",Request,Request.Typo,N-Negative,Clarity
1220,"In page 8, the double quotation marks of ""short-term"" are not correct.",Request,Request.Typo,N-Negative,Clarity
1221,"Finally yet importantly, though a large number of works have been proposed to try to solve this problem especially the catastrophic forgetting, most of these works are heuristic and lack mathematical proof, and thus have no guarantee on new tasks or scenarios.",Evaluative,Evaluative,N-Negative,Soundness/Correctness
1222,The proposed method is also heuristic and lacks promising guarantee.,Evaluative,Evaluative,N-Negative,Soundness/Correctness
1223,This paper proposed a new training framework to disentangle global structures from local structures,Fact,Fact,,
1224,based on Variational Autoencoders (VAEs). They first generate a transformed image by shuffling the,,,,
1225,patches of the original image to destroy the global structures.,,,,
1226,The training task forces the model to,Fact,Fact,,
1227,"reconstruct the original image and shuffled images from different latent variables, thus separating",,,,
1228,global long-range structural correlations and local patch-wise correlations .,,,,
1229,"Instead of adjusting the objective function or model structure, the paper proposed a new and simple",Evaluative,Evaluative,P-Positive,Originality
1230,"training framework to disentangle the global and local structures, which is novel.",,,,
1231,The experiment results are good on SVHN.,Evaluative,Evaluative,P-Positive,Substance
1232,Some visual inspection experiments on CIFAR10 are performed.,Fact,Fact,,
1233,The plot (Figure2 (d)) is very blurry and people cannot really tell local structure from it.,Evaluative,Evaluative,N-Negative,Clarity
1234,The rest experiments,Evaluative,Evaluative,N-Negative,Substance
1235,"are all based on SVHN, which is too simple.",,,,
1236,More experiments based on other types of data sets with clear global structures such as faces or stop signs will,Request,Request.Experiment,N-Negative,Substance
1237,be more convincing.,,,,
1238,"In the digit dataset, the local and global structures are relatively easy to separate.",Fact,Fact,,
1239,However,Evaluative,Evaluative,N-Negative,Substance
1240,", in Table 1, the",,,,
1241,performance of VAE+Auxiliary is not better than two of the other methods.,,,,
1242,The idea in this paper is novel but experiments do not seem to be enough.,Evaluative,Evaluative,N-Negative,Substance
1243,More experiments on datasets,Evaluative,Evaluative,N-Negative,Substance
1244,with clear global and local structure separations with careful analyses are required to make the paper stronger.,,,,
1245,The submission proposes a new method for agent design to learn about the behaviour of other fixed agents inhabiting the same environment.,Structuring,Structuring.Summary,,
1246,The method builds on imitation learning (behavioural cloning) to model the agent’s behaviour and reinforcement learning to learn a probing policy to more broadly explore different target agent behaviours.,Structuring,Structuring.Summary,,
1247,"Overall, the approach falls into the field of intrinsic motivation / curiosity-like reward generation procedures but with respect to target agent behaviour instead of the agent’s environment.",Structuring,Structuring.Summary,,
1248,"While learning to model the target agent’s inner state, the RL reward is generated based on the difference of the target agent’s inner state between consecutive time steps.",Structuring,Structuring.Summary,,
1249,The approach is evaluated against a small set of baselines in various toy grid-world scenarios and a sorting task and overall performs commensurate or better than the investigated baselines.,Evaluative,Evaluative,P-Positive,Soundness/Correctness
1250,"Given its limitation to small and low-dimensional environments, it cannot be said how well the approach will scale with respect to these factors and the resulting, more complex agent behaviours.",Evaluative,Evaluative,N-Negative,Soundness/Correctness
1251,It would be highly beneficial to evaluate these aspects.,Request,Request.Experiment,P-Positive,Soundness/Correctness
1252,"Furthermore, it would be beneficial to provide more information about the baselines; in particular the type of count-based exploration.",Request,Request.Clarification,U-Neutral,Substance
1253,"For the generated figures, it would be beneficial to include standard deviation and mean over multiple runs to not only evaluate performance but also robustness.",Request,Request.Edit,U-Neutral,Substance
1254,"Overall, while the agent behaviour modelling focused on a type of inner state (based on past trajectories) provides benefits in the evaluated examples, it is unsure how well the approach scales to more complex domains based on strong similarity and simplicity of the tested toy scenarios (evaluation on sorting problems is an interesting step towards to address this shortcoming).",Evaluative,Evaluative,N-Negative,Soundness/Correctness
1255,"One additional aspect pointing towards the necessity of further evaluation is the strong dependence of performance on the dimensionality of the latent, internal state (Fig.4).",Evaluative,Evaluative,U-Neutral,Substance
1256,Minor issues:,Structuring,Structuring.Heading,,
1257,- Reward formulations for the baselines as part of the appendix.,Request,Request.Edit,U-Neutral,Substance
1258,- Same scale for the y-axes across figures,Request,Request.Typo,U-Neutral,Substance
1259,Regularizing RKHS norm is a classic way to prevent overfitting.,Structuring,Structuring.Summary,,
1260,The authors,Structuring,Structuring.Summary,,
1261,note the connections between RKHS norm and several common regularization and,,,,
1262,"robustness enhancement techniques, including gradient penalty, robust",,,,
1263,optimization via PGD and spectral norm normalization.,,,,
1264,They can be seen as upper,Structuring,Structuring.Summary,,
1265,or lower bounds of the RKHS norm.,,,,
1266,"There are some interesting findings in the experiments. For example, for",Evaluative,Evaluative,P-Positive,Substance
1267,"improving generalization, using the gradient penalty based method seems to work",,,,
1268,best.,,,,
1269,"For improving robustness, adversarial training with PGD has the best",Fact,Fact,,
1270,results (which matches the conclusions by Madry et al.); but as shown in Figure,,,,
1271,"2,",,,,
1272,"because adversarial training only decreases a lower bound of RKHS norm, it",,,,
1273,does not necessarily decrease the upper bound (the product of spectral norms).,,,,
1274,This can be shown as a weakness of adversarial training if the authors explore,Fact,Fact,,
1275,further and deeper in this direction.,,,,
1276,"Overall, this paper has many interesting results, but its contribution is",Evaluative,Evaluative,N-Negative,Originality
1277,limited because:,,,,
1278,1. The regularization techniques in reproducing kernel Hilbert space (RKHS) has,Evaluative,Evaluative,N-Negative,Originality
1279,been well studied by previous literature.,,,,
1280,This paper simply applies these,,,,
1281,"results to deep neural networks, by treating the neural network as a big",,,,
1282,black-box function f(x),,,,
1284,Many of the results have been already presented in,Evaluative,Evaluative,N-Negative,Originality
1285,previous works like Bietti & Mairal (2018).,,,,
1286,"2. In experiments, the authors explored many existing methods on improving",Evaluative,Evaluative,N-Negative,Originality
1287,generalization and robustness. However all these methods are known and not new.,,,,
1288,"Ideally, the authors can go further and propose a new regularization method",Other,Other,,
1289,"based on the connection between neural networks and RKHS, and conduct",,,,
1290,experiments to show its effectiveness.,,,,
1291,"The paper is overall well written, and the introductions to RKHS and each",Evaluative,Evaluative,P-Positive,Clarity
1292,regularization techniques are very clear.,,,,
1293,The provided experiments also include,Evaluative,Evaluative,P-Positive,Substance
1294,some interesting findings.,,,,
1295,My major concern is the lack of novel contributions,Evaluative,Evaluative,N-Negative,Originality
1296,in this paper.,,,,
1318,"Given a network and input model for generating adversarial examples, this paper presents an idea to quantitatively evaluate the robustness of the network to these adversarial perturbations.",Structuring,Structuring.Summary,,
1319,"Although the idea is interesting, I would like to see more experimental results showing the scalability of the proposed method and for evaluating defense strategies against different types of adversarial attacks.",Request,Request.Experiment,U-Neutral,Substance
1320,Detailed review below:,Structuring,Structuring.Heading,,
1321,"- How does the performance of the proposed method scale wrt scalability? It will be useful to do an ablation study, i.e. keep the input model fixed and slowly increase the dimension.",Evaluative,Evaluative,U-Neutral,Motivation/Impact
1322,- Did you experiment with other MH proposal beyond a random walk proposal? Is it possible to measure the diversity of the samples using techniques such as the effective sample size (ESS) from the SMC literature?,Evaluative,Evaluative,U-Neutral,Meaningful Comparison
1323,"- What is the performance of the proposed method against ""universal adversarial examples""?",Evaluative,Evaluative,U-Neutral,Substance
1324,- The most interesting question is whether this method gives reasonable robustness estimates even for large networks such as AlexNet?,Evaluative,Evaluative,U-Neutral,Motivation/Impact
1325,"- Please provide some intuition for this line in Figure 3: ""while the robustness to perturbations of size  = 0:3 actually starts to decrease after around 20 epochs.""",Request,Request.Edit,U-Neutral,Soundness/Correctness
1326,- A number of attack and defense strategies have been proposed in the literature.,Evaluative,Evaluative,U-Neutral,Substance
1327,"Isn't it possible to use the proposed method to quantify the increase in the robustness towards an attack model using a particular defense strategy? If it is possible to show that the results of the proposed method match the conclusions from these papers, then this will be an important contribution.",Evaluative,Evaluative,U-Neutral,Substance
1328,Summary: The paper studies the problem of training deep neural networks in the distributes setting while ensuring privacy.,Structuring,Structuring.Summary,,
1329,"Each data sample is held by one individual (e.g., on a cell phone), and a central algorithm trains a learning model on top of this data.",Structuring,Structuring.Summary,,
1330,"In order to protect the privacy of the individuals, the paper proposes the use of multi-layer encoders (E) over the raw data, and then send them across the server.",Structuring,Structuring.Summary,,
1331,"The privacy is ensured by exemplifying the inability to reconstruct the original data from the encoded features, via running a reverse deep model (X).",Structuring,Structuring.Summary,,
1332,"The notion of privacy is quantified by the Euclidian distance between the reconstructed vector via the best X and the original feature vector, maximized over E. The overall framework resembles a GAN, and the paper calls it RAN (Reconstructive Adversarial Network).",Structuring,Structuring.Summary,,
1333,Positive aspects: The problem of training privacy preserving deep models over distributed data has been a significant and important challenge.,Evaluative,Evaluative,P-Positive,Motivation/Impact
1334,"The current solutions that adhere to differential privacy based approaches are not yet practical. In my view, it is a very important research question.",Evaluative,Evaluative,P-Positive,Motivation/Impact
1335,Negative aspects: One major concern I have with the paper is the notion of privacy considered.,Evaluative,Evaluative,N-Negative,Substance
1336,The notion of privacy considered in the paper makes two assumptions which I am not comfortable with: i) The protection that the notion assures is against reconstruction attacks.,Evaluative,Evaluative,N-Negative,Substance
1337,"There has been a large body of work which shows that weaker attacks like membership attacks can be equally damaging, ii) Privacy is a worst-case guarantee.",Evaluative,Evaluative,N-Negative,Substance
1338,"I do not see the GAN style approach taken by the paper, ensures this.",Evaluative,Evaluative,N-Negative,Substance
1339,"Authors provide a variant of WGAN, called PC-GAN, to generate 3D point clouds.",Structuring,Structuring.Summary,,
1340,The drawback of a vanilla GAN with a DeepSet classifier is analyzed.,Structuring,Structuring.Summary,,
1341,The rationality that decoupling the point generator with the object generator is also discussed.,Structuring,Structuring.Summary,,
1342,A sandwiching objective function is proposed to achieve a better estimation of Wasserstein distance.,Structuring,Structuring.Summary,,
1343,"Compared with AAE and the simplified variants of the proposed PC-GAN, the proposed PC-GAN achieves incremental results on point cloud generation.",Structuring,Structuring.Summary,,
1345,1. Authors calculate W_U in a primal form via solving an assignment programming problem.,Structuring,Structuring.Quote,,
1346,Have authors ever tried Sinkhorn iteration?,Request,Request.Clarification,U-Neutral,Substance
1347,"To my knowledge, sinkhorn iteration is a very popular method to solve OT problem effectively.",Fact,Fact,,
1348,It would be nice if authors can provide some reasons and comparisons for their choice on the optimizer of W_U.,Request,Request.Explanation,U-Neutral,Replicability
1350,"Authors proved that the sandwiching object W_s is closer to the real Wasserstein distance, but it increases the variance of the loss function.",Structuring,Structuring.Quote,,
1351,"Specifically, the dynamics of W_U, and W_L, according to lemma1, is (epsilon2-epsilon1)*w(P, G) while the dynamics of W_s is 2*epsilon1 * w(P, G), and 2epsilon1 > epsilon2 - epsilon1 (according to the assumption in lemma 1).",Structuring,Structuring.Quote,,
1352,Does it mean that the W_s is not as stable as W_L or W_U during training?,Request,Request.Clarification,U-Neutral,Soundness/Correctness
1353,"Additionally, authors combined W_U with W_L with a mixture 20:1, i.e., the s in Eqs(6, 13, 14) is smaller than 0.05.",Structuring,Structuring.Quote,,
1354,"In such a situation, both the value and the dynamics of W_s will be very close to that of W_U. Does it mean that W_L is not so important as W_U?",Request,Request.Clarification,U-Neutral,Soundness/Correctness
1355,Authors should analyze the stability of their method in details.,Evaluative,Evaluative,N-Negative,Soundness/Correctness
1356,"Essentially, the proposed method is a variant of WGAN, which estimates Wasserstein distance with lower bias but may suffer from worse stability.",Fact,Fact,,
1357,"In the experiments, both the setting and the experimental results show that the proposed W_s will be very close to W_U. As a result, the improvement caused by the proposed method is incremental compared with its variants.",Evaluative,Evaluative,N-Negative,Originality
1358,Typos:,Structuring,Structuring.Heading,,
1359,"- The end of the 2nd line of lemma 1: P, G should be \mathbb{P}, \mathbb{G}",Request,Request.Typo,N-Negative,Clarity
1360,- The 3rd line of lemma 1: epsilon1 -> epsilon_1,Request,Request.Typo,N-Negative,Clarity
1361,"- Page 14, Eq(14), \lambda should be s",Request,Request.Typo,N-Negative,Clarity
1362,"- Page 14, Eqs(13, 14), w(\mathbb{P}, \mathbb{G}) should appear on the right.",Request,Request.Typo,N-Negative,Clarity
1363,"This article presents experiments on medium- and large-scale language modeling when the ideas of adaptive softmax (Grave et al., 2017) are extended to input representations.",Structuring,Structuring.Summary,,
1364,"The article is well written and I find the contribution simple, but interesting.",Evaluative,Evaluative,P-Positive,Clarity
1365,It is a reasonable and well supported increment from adaptive softmax of Grave et al. (2017).,Evaluative,Evaluative,P-Positive,Motivation/Impact
1366,My question is a bit philosophical: The only thing which I was concerned about when reading the paper is projection of the embeddings back to the d-dimensional space.,Evaluative,Evaluative,N-Negative,Substance
1367,"I understand that for two matrices A and B we have rank(AB) <= min(rank(A), rank(B)), and we are not making the small-sized embeddings richer when backprojecting to R^d, but",Evaluative,Evaluative,U-Neutral,Substance
1368,have you thought about how it would be possible to avoid this step and keep the original variable-size embeddings?,Request,Request.Experiment,N-Negative,Substance
1370,"Joulin, A., Cissé, M., Grangier, D. and Jégou, H., 2017, July. Efficient softmax approximation for GPUs. In International Conference on Machine Learning (pp. 1302-1310).",Other,Other,,
1372,The authors look at the problem of exploration in deep RL.,Structuring,Structuring.Summary,,
1373,They propose a “curiosity grid” which is a virtual grid laid out on top of the current level/area that an Atari agent is in.,Structuring,Structuring.Summary,,
1374,"Once an agent enters a new cell of the grid, it obtains a small reward, encouraging the agent to explore all parts of the game.",Structuring,Structuring.Summary,,
1375,The grid is reset (meaning new rewards can be obtained) after every roll out (meaning the Atari agent has used up all its lives and the game restarts).,Structuring,Structuring.Summary,,
1376,The authors argue that this method enables better exploration and they obtain an impressive score on Montezuma’s Revenge (MR).,Structuring,Structuring.Summary,,
1377,Review:,Structuring,Structuring.Heading,,
1378,"The paper contains an extensive introduction with many references to prior work, and a sensible lead up to the introduced algorithm.",Evaluative,Evaluative,P-Positive,Motivation/Impact
1379,The algorithm itself seems to work well and some of the results are convincing.,Evaluative,Evaluative,P-Positive,Soundness/Correctness
1380,I am a bit worried about the fact that the agents have access to their history of locations (“the grid”).,Evaluative,Evaluative,N-Negative,Soundness/Correctness
1381,The authors mention that none of the methods they compare against has this advantage and it seems that in a game that rewards exploration directly (MR) this is a large advantage.,Fact,Fact,,
1382,The authors comment on this advantage in section 3 and found that removing intrinsic rewards hurt performance significantly.,Fact,Fact,,
1383,Only removing the grid access made results on MR very unstable.,Fact,Fact,,
1384,"However in order to compute the intrinsic rewards, it still seems necessary to access the location of the agent, meaning that implicitly the advantage of the method is still there.",Fact,Fact,,
1385,"I was wondering if the authors find that the agents are forcibly exploring the entire environment during each rollout? Even if the agent knows what/where the actual goal is. There is a hint to this behaviour in section 4, on exploration in sparse domains.",Request,Request.Explanation,U-Neutral,Soundness/Correctness
1386,"The future work section mentions some interesting improvements, where the agent position is learned from data. That seems like a promising direction that would generalise beyond Atari games and avoids the advantage.",Evaluative,Evaluative,P-Positive,Substance
1387,Nits/writing feedback:,Structuring,Structuring.Heading,,
1388,- There is no need for such repetitive citing (esp paragraph 2 on page 2).,Evaluative,Evaluative,N-Negative,Clarity
1389,Sometimes the same paper is cited 4 times within a few lines.,Evaluative,Evaluative,N-Negative,Clarity
1390,"While it’s great that so much prior work was acknowledged, mentioning a paper once per paragraph is (usually) sufficient and increases readability.",Evaluative,Evaluative,N-Negative,Clarity
1391,- I think the comparison between prior lifetimes and humans mastering a language doesn’t hold up and is distracting,Evaluative,Evaluative,N-Negative,Soundness/Correctness
1392,##,Structuring,Structuring.Heading,,
1394,Revision:,Structuring,Structuring.Heading,,
1395,The rebuttal does little to clarify open questions:,Evaluative,Evaluative,N-Negative,Other
1396,1. Both reviewer 2 and I commented on the ablation study regarding the grid but received no reply.,Evaluative,Evaluative,N-Negative,Substance
1397,"2. I am not convinced this method is sufficiently new, given that there are other methods that try to directly reward visiting new states.",Evaluative,Evaluative,N-Negative,Originality
1398,"3. The authors argue in their rebuttal that ""the grid"" is a novel idea that warrants investigation, but remark in figure 5 that likely it isn't the key aspect of their algorithm.",Evaluative,Evaluative,N-Negative,Originality
1399,This seems contradictory.,Evaluative,Evaluative,N-Negative,Originality
1400,The paper is really interesting.,Evaluative,Evaluative,P-Positive,Motivation/Impact
1401,Set prediction problem has lots of applications in AI applications and the problem has not been conquered by deep networks.,Evaluative,Evaluative,P-Positive,Motivation/Impact
1402,The paper proposes a formulation to learn the distribution over unobservable permutation variables based on deep networks and uses a MAP  estimator for inference.,Structuring,Structuring.Summary,,
1403,It has object detection applications.,Structuring,Structuring.Summary,,
1404,The results show that it can outperform YOLOv2 and Faster R-CNN in a small pedestrian detection dataset which contains heavy occlusions.,Structuring,Structuring.Summary,,
1405,The limitation is clearly stated in the last part of the paper that the number of possible permutations exponentially grows with the maximum set size (cardinality).,Structuring,Structuring.Quote,,
1406,"In the author response period, I would like the author give more details about the pedestrian detection experiments, such as how many dense layers are used after ResNet-101, what are the training and inference time, is it possible to report results on PASCAL VOC (only the person class).",Request,Request.Edit,U-Neutral,Replicability
1407,The method is exciting for object detection funs.,Evaluative,Evaluative,P-Positive,Motivation/Impact
1408,I would like to encourage the authors to release the code and let the whole object detection community overcome the limitation in the paper.,Request,Request.Experiment,U-Neutral,Replicability
1435,"The proposed method tackles class-incremental continual learning, where new categories are incrementally exposed to the network but a classifier across all categories must be learned.",Fact,Fact,,
1436,"The proposed method seems to be essentially a combination of generative replay (e.g. Deep Generative Replay) with AC-GAN as the model and attention (HAT), along with a growing mechanism to support saturating capacity.",Fact,Fact,,
1437,Quantitative results are shown on MNIST and SVHN while some analysis is provided on CIFAR.,Fact,Fact,,
1439,"+ The method combines the existing works in a way that makes sense, specifically AC-GAN to support a single generator network with attention-based methods to prevent forgetting in the generator.",Evaluative,Evaluative,P-Positive,Soundness/Correctness
1440,"+ The method results in good performance, although see caveats below.",Evaluative,Evaluative,P-Positive,Substance
1441,+ Analysis of the evolution of mask values over time is interesting.,Evaluative,Evaluative,P-Positive,Substance
1443,- The method is very confusingly presented and requires both knowledge of HAT as well as more than one reading to understand.,Evaluative,Evaluative,N-Negative,Clarity
1444,"The fact that HAT-like masks are used for a generative replay approach is clear, but the actual mechanism of ""growing capacity"" is not made clear at all especially in the beginning of the paper.",Evaluative,Evaluative,N-Negative,Clarity
1445,"Further the contributions are not clear at all, since a large part of the detailed approach/equations relate to the masking which was taken from previous work.",Evaluative,Evaluative,N-Negative,Originality
1446,The authors should on the claimed contributions.,Request,Request.Edit,N-Negative,Originality
1447,Is it a combination of DGR and HAT with some capacity expansion?,Request,Request.Explanation,N-Negative,Originality
1448,- It is not clear whether pushing the catastrophic forgetting problem into the generator is the best approach.,Evaluative,Evaluative,N-Negative,Soundness/Correctness
1449,"Clearly, replaying data accurately from all tasks will work well, but why is it harder to guard against the generative forgetting problem than the discriminative one?",Request,Request.Explanation,N-Negative,Substance
1450,- The approach also seems to add a lot of complexity and heuristics/hyper-parameters.,Evaluative,Evaluative,N-Negative,Replicability
1451,It also adds capacity and it is not at all made clear whether the comparison is fair since no analysis on number of parameters are shown.,Evaluative,Evaluative,N-Negative,Meaningful Comparison
1452,"- Relatedly, better baselines should be used; for example, if the memory used by the generative model is merely put to storing randomly chosen instances from the tasks, how will the results compare? Clearly storing instances bypasses the forgetting problem completely (as memory size approaches the dataset size it turns into the joint problem) and it's not clear how many instances are really needed per task, especially for these simpler problems.",Request,Request.Experiment,N-Negative,Meaningful Comparison
1453,"As such, I find it surprising that simply storing instances would do as poorly as stated in this paper which says cannot provide enough diversity.",Evaluative,Evaluative,N-Negative,Soundness/Correctness
1454,"It also seems strange to say that storing instances ""violates the strictly incremental setup"" while generative models do not.",Evaluative,Evaluative,N-Negative,Soundness/Correctness
1455,"Obviously there is a tradeoff in terms of memory usage, privacy, performance, etc. but since none of these methods currently achieve the best across all of these there is no reason to rule out any of the methods.",Evaluative,Evaluative,N-Negative,Substance
1456,Otherwise you are just defining the problem in a way that excludes other simple approaches which work.,Evaluative,Evaluative,N-Negative,Originality
1457,"- There are several methodological issues: Why are CIFAR results not shown in a table as is done for the other dataset? How many times were the experiments run and what were the variances? How many parameters are used (since capacity can increase?) It is for example not clear that the comparison to joint training is fair, when stating: ""Interestingly, DGM outperforms joint training on the MNIST dataset using the same architecture.",Request,Request.EditExperiment,N-Negative,Replicability|Meaningful Comparison
1458,This suggests that the strictly incremental training methodology indeed forced the network to learn better generalizations,Request,Request.Explanation,N-Negative,Substance
1459,"compared to what it would learn given all the data."" Doesn't DGM grow the capacity, and therefore this isn't that surprising?",,,,
1460,"This is true throughout; as stated before it is not clear how many parameters and how much memory these methods need, which makes it impossible to compare.",Evaluative,Evaluative,N-Negative,Meaningful Comparison
1461,Some other minor issues in the writing includes:,Structuring,Structuring.Heading,,
